2020-05-02 05:20:18 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2020-05-02 05:20:18 install libselinux1:amd64 <none> 3.0-1build2
2020-05-02 05:20:18 status half-installed libselinux1:amd64 3.0-1build2
2020-05-02 05:20:18 status unpacked libselinux1:amd64 3.0-1build2
2020-05-02 05:20:18 install libsemanage-common:all <none> 3.0-1build2
2020-05-02 05:20:18 status half-installed libsemanage-common:all 3.0-1build2
2020-05-02 05:20:19 status unpacked libsemanage-common:all 3.0-1build2
2020-05-02 05:20:19 install libsemanage1:amd64 <none> 3.0-1build2
2020-05-02 05:20:19 status half-installed libsemanage1:amd64 3.0-1build2
2020-05-02 05:20:19 status unpacked libsemanage1:amd64 3.0-1build2
2020-05-02 05:20:19 install libsepol1:amd64 <none> 3.0-1
2020-05-02 05:20:19 status half-installed libsepol1:amd64 3.0-1
2020-05-02 05:20:19 status unpacked libsepol1:amd64 3.0-1
2020-05-02 05:20:19 install libsmartcols1:amd64 <none> 2.34-0.1ubuntu9
2020-05-02 05:20:19 status half-installed libsmartcols1:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:19 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:19 install libss2:amd64 <none> 1.45.5-2ubuntu1
2020-05-02 05:20:19 status half-installed libss2:amd64 1.45.5-2ubuntu1
2020-05-02 05:20:19 status unpacked libss2:amd64 1.45.5-2ubuntu1
2020-05-02 05:20:19 install libsystemd0:amd64 <none> 245.4-4ubuntu3
2020-05-02 05:20:19 status half-installed libsystemd0:amd64 245.4-4ubuntu3
2020-05-02 05:20:19 status unpacked libsystemd0:amd64 245.4-4ubuntu3
2020-05-02 05:20:19 install libtinfo6:amd64 <none> 6.2-0ubuntu2
2020-05-02 05:20:19 status half-installed libtinfo6:amd64 6.2-0ubuntu2
2020-05-02 05:20:19 status unpacked libtinfo6:amd64 6.2-0ubuntu2
2020-05-02 05:20:19 install libudev1:amd64 <none> 245.4-4ubuntu3
2020-05-02 05:20:19 status half-installed libudev1:amd64 245.4-4ubuntu3
2020-05-02 05:20:19 status unpacked libudev1:amd64 245.4-4ubuntu3
2020-05-02 05:20:19 install libuuid1:amd64 <none> 2.34-0.1ubuntu9
2020-05-02 05:20:19 status half-installed libuuid1:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:19 status unpacked libuuid1:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:20 install libzstd1:amd64 <none> 1.4.4+dfsg-3
2020-05-02 05:20:20 status half-installed libzstd1:amd64 1.4.4+dfsg-3
2020-05-02 05:20:20 status unpacked libzstd1:amd64 1.4.4+dfsg-3
2020-05-02 05:20:20 install login:amd64 <none> 1:4.8.1-1ubuntu5
2020-05-02 05:20:20 status half-installed login:amd64 1:4.8.1-1ubuntu5
2020-05-02 05:20:20 status unpacked login:amd64 1:4.8.1-1ubuntu5
2020-05-02 05:20:20 install logsave:amd64 <none> 1.45.5-2ubuntu1
2020-05-02 05:20:20 status half-installed logsave:amd64 1.45.5-2ubuntu1
